Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/29  01:00:00,8766681.70917847,8766681.709178472,0.0 
 01/29  02:00:00,9666562.305672228,9666562.30567223,0.0 
 01/29  03:00:00,10037563.813725986,10037563.813725986,0.0 
 01/29  04:00:00,10401305.682935435,10401305.682935435,0.0 
 01/29  05:00:00,11405299.093730196,11405299.093730198,0.0 
 01/29  06:00:00,10557165.213346018,10557165.213346016,0.0 
 01/29  07:00:00,11656774.893106755,11656774.893106755,0.0 
 01/29  08:00:00,11150399.786654761,11150399.786654761,0.0 
 01/29  09:00:00,7608368.824024284,7608368.824024284,0.0 
 01/29  10:00:00,6627940.577307386,6627940.577307386,0.0 
 01/29  11:00:00,6200865.451238169,6200865.451238169,0.0 
 01/29  12:00:00,5146763.7848245,5146763.7848245,0.0 
 01/29  13:00:00,4818452.414649393,4818452.414649393,0.0 
 01/29  14:00:00,4736808.380899384,4736808.380899384,0.0 
 01/29  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/29  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/29  17:00:00,4945258.596677196,4945258.596677196,0.0 
 01/29  18:00:00,7964564.144415714,7964564.144415714,0.0 
 01/29  19:00:00,8650672.474900903,8650672.474900903,0.0 
 01/29  20:00:00,7795338.586712598,7795338.586712598,0.0 
 01/29  21:00:00,7620744.863125562,7620744.863125564,0.0 
 01/29  22:00:00,8172740.190300156,8172740.190300155,0.0 
 01/29  23:00:00,8231532.358213704,8231532.358213704,0.0 
 01/29  24:00:00,8500649.591875482,8500649.59187548,0.0 
 01/30  01:00:00,11540013.488739608,11540013.488739608,0.0 
 01/30  02:00:00,11015145.489807129,11015145.489807129,0.0 
 01/30  03:00:00,11113327.38638677,11113327.38638677,0.0 
 01/30  04:00:00,11708613.297542164,11708613.297542166,0.0 
 01/30  05:00:00,11166940.446020035,11166940.446020037,0.0 
 01/30  06:00:00,10865906.812438741,10865906.812438743,0.0 
 01/30  07:00:00,41555543.992686175,41555543.99268618,25391630.626349367 
 01/30  08:00:00,43407959.07022807,43407959.07022807,26913623.69615797 
 01/30  09:00:00,45896965.60786801,45896965.60786801,5051808.359742468 
 01/30  10:00:00,43226239.9768505,43226239.97685051,971706.2155245407 
 01/30  11:00:00,39535948.46049017,39535948.46049017,0.0 
 01/30  12:00:00,38982908.31256494,38982908.31256495,0.0 
 01/30  13:00:00,37519776.34411071,37519776.34411071,0.0 
 01/30  14:00:00,36124766.1312305,36124766.1312305,0.0 
 01/30  15:00:00,33751901.542408496,33751901.5424085,0.0 
 01/30  16:00:00,33593451.1862777,33593451.18627771,0.0 
 01/30  17:00:00,32264752.116878174,32264752.116878178,0.0 
 01/30  18:00:00,33454823.997240026,33454823.997240026,0.0 
 01/30  19:00:00,29770416.42857881,29770416.42857881,0.0 
 01/30  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/30  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/30  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/30  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/30  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/31  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  07:00:00,40752406.721286744,40752406.72128674,19612508.622470886 
 01/31  08:00:00,43332632.21318274,43332632.21318275,21608733.172738474 
 01/31  09:00:00,41092796.22558761,41092796.22558761,393893.4727382146 
 01/31  10:00:00,34183077.35945521,34183077.35945521,0.0 
 01/31  11:00:00,30094730.49519281,30094730.49519282,0.0 
 01/31  12:00:00,30160840.451626007,30160840.451626007,0.0 
 01/31  13:00:00,27037054.880176365,27037054.88017637,0.0 
 01/31  14:00:00,28903177.080046292,28903177.080046296,0.0 
 01/31  15:00:00,27417774.279917035,27417774.27991704,0.0 
 01/31  16:00:00,28506615.786404625,28506615.78640463,0.0 
 01/31  17:00:00,28929155.636681862,28929155.636681862,0.0 
 01/31  18:00:00,27434929.998429567,27434929.998429574,0.0 
 01/31  19:00:00,28031729.883863218,28031729.883863218,0.0 
 01/31  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/31  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/31  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/31  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/31  24:00:00,7265454.451684226,7265454.451684226,0.0 
