Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/19  17:00:00,31287786.49098398,31287786.490983985,0.0 
 01/19  18:00:00,23648356.096340198,23648356.0963402,0.0 
 01/19  19:00:00,20294954.354142766,20294954.354142766,0.0 
 01/19  20:00:00,10208935.254119202,10208935.254119204,0.0 
 01/19  21:00:00,9224331.820964705,9224331.820964705,0.0 
 01/19  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/19  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/19  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/20  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/20  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/20  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/20  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/20  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/20  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/20  07:00:00,25254193.314619668,25254193.314619668,0.0 
 01/20  08:00:00,29947987.092803493,29947987.092803497,0.0 
 01/20  09:00:00,31428006.71448537,31428006.714485373,0.0 
 01/20  10:00:00,29728828.796098195,29728828.796098202,0.0 
 01/20  11:00:00,28499135.646276686,28499135.64627669,0.0 
 01/20  12:00:00,29509487.41214463,29509487.41214464,0.0 
 01/20  13:00:00,25913818.045229383,25913818.045229387,0.0 
 01/20  14:00:00,29404517.00623582,29404517.006235823,0.0 
 01/20  15:00:00,28255669.213075727,28255669.213075735,0.0 
 01/20  16:00:00,29557864.508126386,29557864.508126397,0.0 
 01/20  17:00:00,30371359.956421897,30371359.956421904,0.0 
 01/20  18:00:00,23882725.067908026,23882725.06790803,0.0 
 01/20  19:00:00,19494339.820560597,19494339.820560597,0.0 
 01/20  20:00:00,10208935.254119202,10208935.254119204,0.0 
 01/20  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/20  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/20  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/20  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/21  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/21  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/21  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/21  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/21  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/21  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/21  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/21  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/21  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  10:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  11:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  12:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  13:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  14:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  15:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  16:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  17:00:00,5395258.596677196,5395258.596677196,0.0 
 01/21  18:00:00,7595938.596677196,7595938.596677196,0.0 
 01/21  19:00:00,7595938.596677196,7595938.596677196,0.0 
 01/21  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/21  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/21  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/21  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/21  24:00:00,6794038.596677196,6794038.596677196,0.0 
