Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/08  01:00:00,11266572.775971599,11266572.7759716,0.0 
 01/08  02:00:00,14276611.184981508,14276611.184981508,0.0 
 01/08  03:00:00,12225757.70102864,12225757.701028638,0.0 
 01/08  04:00:00,10803217.500425404,10803217.500425406,0.0 
 01/08  05:00:00,14164725.693187471,14164725.693187471,0.0 
 01/08  06:00:00,12764870.636513155,12764870.636513155,0.0 
 01/08  07:00:00,12418654.111530269,12418654.111530267,0.0 
 01/08  08:00:00,13568326.842566691,13568326.842566688,0.0 
 01/08  09:00:00,9250995.592543965,9250995.592543965,0.0 
 01/08  10:00:00,8779850.177980766,8779850.177980766,0.0 
 01/08  11:00:00,10573038.3113667,10573038.3113667,0.0 
 01/08  12:00:00,9167969.236770945,9167969.236770945,0.0 
 01/08  13:00:00,8944723.349205792,8944723.349205792,0.0 
 01/08  14:00:00,8380665.3891702695,8380665.389170269,0.0 
 01/08  15:00:00,7115441.551255306,7115441.551255306,0.0 
 01/08  16:00:00,6703731.51244429,6703731.512444289,0.0 
 01/08  17:00:00,8895062.5950427,8895062.5950427,0.0 
 01/08  18:00:00,11113795.833200099,11113795.833200099,0.0 
 01/08  19:00:00,11686301.568818241,11686301.568818241,0.0 
 01/08  20:00:00,13381753.62927854,13381753.62927854,0.0 
 01/08  21:00:00,13756192.676217712,13756192.676217712,0.0 
 01/08  22:00:00,12685776.393470228,12685776.393470228,0.0 
 01/08  23:00:00,14084194.656189226,14084194.656189226,0.0 
 01/08  24:00:00,14470001.725351617,14470001.725351617,0.0 
 01/09  01:00:00,14660202.076180631,14660202.076180631,0.0 
 01/09  02:00:00,15160797.40658009,15160797.406580092,0.0 
 01/09  03:00:00,14956710.390266735,14956710.390266735,0.0 
 01/09  04:00:00,13558701.87762633,13558701.877626328,0.0 
 01/09  05:00:00,14336008.337089686,14336008.337089686,0.0 
 01/09  06:00:00,14858456.810316656,14858456.81031666,0.0 
 01/09  07:00:00,40508339.33295656,40508339.33295656,65467959.56180577 
 01/09  08:00:00,41250533.141553,41250533.14155299,64535429.23156889 
 01/09  09:00:00,49944214.92856008,49944214.92856008,29572587.701290086 
 01/09  10:00:00,47132473.65604819,47132473.65604819,6061283.900154505 
 01/09  11:00:00,42126357.26978736,42126357.26978737,0.0 
 01/09  12:00:00,40403067.46398796,40403067.46398796,0.0 
 01/09  13:00:00,37574224.63204865,37574224.63204865,0.0 
 01/09  14:00:00,36719830.35105814,36719830.35105814,0.0 
 01/09  15:00:00,34052666.839329496,34052666.8393295,0.0 
 01/09  16:00:00,34535839.30856417,34535839.30856417,0.0 
 01/09  17:00:00,37252196.456847064,37252196.45684707,0.0 
 01/09  18:00:00,38051506.74502243,38051506.74502243,0.0 
 01/09  19:00:00,34347009.2963337,34347009.2963337,1659624.338658345 
 01/09  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/09  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/09  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/09  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/09  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/10  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/10  02:00:00,9244604.825749658,9244604.82574966,0.0 
 01/10  03:00:00,8569604.825749658,8569604.82574966,0.0 
 01/10  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/10  05:00:00,9019604.825749658,9019604.82574966,0.0 
 01/10  06:00:00,8569604.825749658,8569604.82574966,0.0 
 01/10  07:00:00,37852019.64908869,37852019.64908868,3418121.0832263925 
 01/10  08:00:00,37614068.54788369,37614068.54788368,1555877.5032108272 
 01/10  09:00:00,36293872.15050957,36293872.15050958,0.0 
 01/10  10:00:00,32692093.244319227,32692093.244319227,0.0 
 01/10  11:00:00,30411239.371302567,30411239.37130257,0.0 
 01/10  12:00:00,30985013.39255138,30985013.392551385,0.0 
 01/10  13:00:00,28527639.590008006,28527639.590008006,0.0 
 01/10  14:00:00,30957223.503651712,30957223.503651716,0.0 
 01/10  15:00:00,30451532.123906597,30451532.123906605,0.0 
 01/10  16:00:00,31490233.897512358,31490233.897512365,0.0 
 01/10  17:00:00,32643162.760184895,32643162.760184906,0.0 
 01/10  18:00:00,32716471.986856148,32716471.98685615,0.0 
 01/10  19:00:00,28930435.279845916,28930435.279845916,0.0 
 01/10  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/10  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/10  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/10  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/10  24:00:00,6365454.451684226,6365454.451684226,0.0 
 01/11  01:00:00,8794604.825749658,8794604.82574966,0.0 
 01/11  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  03:00:00,9019604.825749658,9019604.82574966,0.0 
 01/11  04:00:00,9019604.825749658,9019604.82574966,0.0 
 01/11  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  07:00:00,30300650.263357565,30300650.26335756,679378.6097347997 
 01/11  08:00:00,32542009.458754484,32542009.45875448,0.0 
 01/11  09:00:00,32473516.028478343,32473516.028478347,0.0 
 01/11  10:00:00,29761264.54253247,29761264.54253247,0.0 
 01/11  11:00:00,27684416.144946504,27684416.144946508,0.0 
 01/11  12:00:00,28120989.408070948,28120989.40807095,0.0 
 01/11  13:00:00,25518791.49363468,25518791.493634682,0.0 
 01/11  14:00:00,27952405.324523207,27952405.32452321,0.0 
 01/11  15:00:00,27081282.177762292,27081282.1777623,0.0 
 01/11  16:00:00,28312593.922545522,28312593.92254553,0.0 
 01/11  17:00:00,29796341.745982364,29796341.74598237,0.0 
 01/11  18:00:00,25257628.695720278,25257628.695720285,0.0 
