Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/08  01:00:00,11266572.775971599,11266572.7759716,0.0 
 01/08  02:00:00,14276611.184981508,14276611.184981508,0.0 
 01/08  03:00:00,12225757.70102864,12225757.701028638,0.0 
 01/08  04:00:00,10803217.500425404,10803217.500425406,0.0 
 01/08  05:00:00,14164725.693187471,14164725.693187471,0.0 
 01/08  06:00:00,12764870.636513155,12764870.636513155,0.0 
 01/08  07:00:00,12418654.111530269,12418654.111530267,0.0 
 01/08  08:00:00,13568326.842566691,13568326.842566688,0.0 
 01/08  09:00:00,9250995.592543965,9250995.592543965,0.0 
 01/08  10:00:00,8779850.177980766,8779850.177980766,0.0 
 01/08  11:00:00,10573038.3113667,10573038.3113667,0.0 
 01/08  12:00:00,9167969.236770945,9167969.236770945,0.0 
 01/08  13:00:00,8944723.349205792,8944723.349205792,0.0 
 01/08  14:00:00,8380665.3891702695,8380665.389170269,0.0 
 01/08  15:00:00,7115441.551255306,7115441.551255306,0.0 
 01/08  16:00:00,6703731.51244429,6703731.512444289,0.0 
 01/08  17:00:00,8895062.5950427,8895062.5950427,0.0 
 01/08  18:00:00,11113795.833200099,11113795.833200099,0.0 
 01/08  19:00:00,11686301.568818241,11686301.568818241,0.0 
 01/08  20:00:00,13381753.62927854,13381753.62927854,0.0 
 01/08  21:00:00,13756192.676217712,13756192.676217712,0.0 
 01/08  22:00:00,12685776.393470228,12685776.393470228,0.0 
 01/08  23:00:00,14084194.656189226,14084194.656189226,0.0 
 01/08  24:00:00,14470001.725351617,14470001.725351617,0.0 
 01/09  01:00:00,14660202.076180631,14660202.076180631,0.0 
 01/09  02:00:00,15160797.40658009,15160797.406580092,0.0 
 01/09  03:00:00,14956710.390266735,14956710.390266735,0.0 
 01/09  04:00:00,13558701.87762633,13558701.877626328,0.0 
 01/09  05:00:00,14336008.337089686,14336008.337089686,0.0 
 01/09  06:00:00,14858456.810316656,14858456.81031666,0.0 
 01/09  07:00:00,40508339.33295656,40508339.33295656,58075850.56700261 
 01/09  08:00:00,41250533.141553,41250533.14155299,54050479.22258051 
 01/09  09:00:00,48303172.385071136,48303172.38507114,9197240.384784477 
 01/09  10:00:00,42672573.438139625,42672573.438139625,217334.00703052967 
 01/09  11:00:00,37185925.62285617,37185925.62285617,0.0 
 01/09  12:00:00,36058591.24774311,36058591.247743115,0.0 
 01/09  13:00:00,33254996.58146438,33254996.58146438,0.0 
 01/09  14:00:00,33734380.27567385,33734380.27567385,0.0 
 01/09  15:00:00,31234166.649443943,31234166.649443947,0.0 
 01/09  16:00:00,31900261.228046067,31900261.22804607,0.0 
 01/09  17:00:00,34079084.69067837,34079084.69067838,0.0 
 01/09  18:00:00,34369768.99475925,34369768.994759254,0.0 
 01/09  19:00:00,31254766.26477238,31254766.264772378,0.0 
 01/09  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/09  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/09  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/09  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/09  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/10  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/10  02:00:00,9244604.825749658,9244604.82574966,0.0 
 01/10  03:00:00,8569604.825749658,8569604.82574966,0.0 
 01/10  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/10  05:00:00,9019604.825749658,9019604.82574966,0.0 
 01/10  06:00:00,8569604.825749658,8569604.82574966,0.0 
 01/10  07:00:00,34428325.76248819,34428325.76248819,761104.6000608652 
 01/10  08:00:00,34492831.94695966,34492831.94695966,0.0 
 01/10  09:00:00,33062976.68597308,33062976.685973085,0.0 
 01/10  10:00:00,30397322.111873627,30397322.111873627,0.0 
 01/10  11:00:00,28424271.062575758,28424271.06257576,0.0 
 01/10  12:00:00,29023058.817255627,29023058.817255635,0.0 
 01/10  13:00:00,26580969.396150902,26580969.396150906,0.0 
 01/10  14:00:00,29138299.105030835,29138299.105030842,0.0 
 01/10  15:00:00,28895647.600402478,28895647.60040248,0.0 
 01/10  16:00:00,30327825.112193976,30327825.11219398,0.0 
 01/10  17:00:00,31690379.682497896,31690379.682497896,0.0 
 01/10  18:00:00,29420023.958095565,29420023.95809557,0.0 
 01/10  19:00:00,26319578.231234033,26319578.23123403,0.0 
 01/10  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/10  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/10  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/10  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/10  24:00:00,6365454.451684226,6365454.451684226,0.0 
 01/11  01:00:00,8794604.825749658,8794604.82574966,0.0 
 01/11  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  03:00:00,9019604.825749658,9019604.82574966,0.0 
 01/11  04:00:00,9019604.825749658,9019604.82574966,0.0 
 01/11  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  07:00:00,27142999.257431913,27142999.25743191,0.0 
 01/11  08:00:00,29775464.361786608,29775464.361786604,0.0 
 01/11  09:00:00,30588494.243721105,30588494.24372111,0.0 
 01/11  10:00:00,28731732.502340488,28731732.502340492,0.0 
 01/11  11:00:00,26901199.174276985,26901199.17427699,0.0 
 01/11  12:00:00,27590750.796821248,27590750.79682126,0.0 
 01/11  13:00:00,24972564.225597076,24972564.225597076,0.0 
 01/11  14:00:00,27556378.93759509,27556378.937595095,0.0 
 01/11  15:00:00,26688568.532405134,26688568.532405138,0.0 
 01/11  16:00:00,27979558.114502124,27979558.114502132,0.0 
 01/11  17:00:00,29505078.589841984,29505078.58984199,0.0 
 01/11  18:00:00,23467701.506263204,23467701.50626321,0.0 
 01/11  19:00:00,19224720.421162974,19224720.421162974,0.0 
