Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/15  01:00:00,19.484698592640285,18.78073541514838,16.602187279808053,15.693957609154939,16.843876150862506,0.9235389947429407,-1.0213993783433324,-1.1284316916390271,-1.6200503518553417,-1.8271386011865003,-1.5650606941804797 
 01/15  02:00:00,19.21981048053595,18.69361925266772,16.556067696844067,15.669952486280149,16.7889565515315,1.5325329602912843,-1.067410361046107,-1.1526883712687042,-1.634779186278128,-1.8366128839513889,-1.581862762663681 
 01/15  03:00:00,19.14097649969936,18.60088547618993,16.505151524388147,15.638819462813878,16.728596380050465,1.576108705458815,-1.0849248716080553,-1.1756088454952747,-1.6482969108499306,-1.8454032777350453,-1.5975188886328708 
 01/15  04:00:00,19.08411868621984,18.49250472926569,16.439388228119356,15.596835695375633,16.655147768764895,2.1560688637644563,-1.0979134850506673,-1.2008546105465423,-1.6640996335106069,-1.8559382095695445,-1.6150379515234956 
 01/15  05:00:00,19.03487742841937,18.355674193097045,16.34187096405867,15.514320168211684,16.551813905639587,1.955130751326188,-1.1093795845117231,-1.2315674859235641,-1.685736213512277,-1.8736618568148857,-1.638033706493824 
 01/15  06:00:00,18.98178422725787,18.184923432161646,16.206273325897335,15.389273363490219,16.41321164458785,0.5807586030638993,-1.121811909626182,-1.2704031675481924,-1.715774042218457,-1.900592664900859,-1.6689454422166836 
 01/15  07:00:00,18.91513031725815,18.049638099275796,16.104541563316463,15.295989250276666,16.30798607458099,-1.7945213391051396,-1.1371639342019233,-1.3040641214587154,-1.7413036789674305,-1.9232295648422861,-1.6954279416238556 
 01/15  08:00:00,18.855141642582122,18.121410484922222,16.32013906348684,15.240730589197392,16.228556775614837,-2.503974082472992,-1.150289908523479,-1.2868696507209925,-1.6906748422082178,-1.937037854828381,-1.714834981396796 
 01/15  09:00:00,18.89607204344985,18.9434267351032,17.453088533783117,15.385417735570087,16.35371014466881,1.0206457998092207,-1.1393087872902914,-1.1018828628147563,-1.451782795370709,-1.9068018664551347,-1.6884164477326429 
 01/15  10:00:00,18.991975851552436,19.8121837257447,17.961254483214837,15.722046602767977,16.667755121858853,9.451650244851301,-1.119293764045203,-0.9250280874058119,-1.345733059634442,-1.8412440803049455,-1.6253981782474605 
 01/15  11:00:00,19.473036748386125,19.90593303129862,17.880776881854285,16.001410659492016,16.97132645569591,15.511314810979627,-1.0464096271924936,-0.9075997871278443,-1.3640157061553433,-1.7843447228222926,-1.5654595845328694 
 01/15  12:00:00,19.621498763272875,19.977585555937434,17.84400942586679,16.25360580947025,17.197447539575826,19.057762545728455,-1.01617436686929,-0.8891776992145565,-1.3726202407326884,-1.7313620598874495,-1.5174717295007267 
 01/15  13:00:00,19.72154456710341,20.095597516878996,17.80104476231319,16.399749529870366,17.327535003978007,20.878767730244906,-0.9950148261852511,-0.8541286111388768,-1.377860919291324,-1.697979761491148,-1.4858434993277725 
 01/15  14:00:00,19.805232235522958,20.64816458257596,17.725344262121187,16.42343377759819,17.574090275558486,21.940811254855923,-0.9764791515236272,-0.7228061763379618,-1.3835666636413049,-1.6844014012411852,-1.4193998538521104 
 01/15  15:00:00,19.89313717905077,21.18790295184258,17.651412211585814,16.382338725960334,18.156381438171067,22.355528664995944,-0.9563858691290117,-0.5876721501084661,-1.3846717744404695,-1.679464477535337,-1.2769521144966083 
 01/15  16:00:00,19.99623577306973,21.35426137876352,17.6475159803142,16.402886767552967,18.788756173528707,19.73723211533569,-0.9324701634124261,-0.5400513613744246,-1.3800647667640067,-1.6685331191589556,-1.1280761175038791 
 01/15  17:00:00,20.08151346682307,20.93531303490617,17.56801737626541,16.385788204165184,18.83360240263846,14.983594436663438,-0.9143088907066701,-0.633935608719746,-1.3971232789969705,-1.6718201594269808,-1.1185948643732897 
 01/15  18:00:00,20.017527234774956,20.159860059344155,17.321430342579582,16.21120910944827,18.092884212371736,9.542286031479588,-0.9305116082461641,-0.8017016373234028,-1.4483355130384317,-1.707460721454114,-1.276859760451214 
 01/15  19:00:00,19.908953048553578,19.642647060919064,17.046557036008466,15.999096174160343,17.605341467620377,6.515022625589171,-0.9547373649798547,-0.9102859101513945,-1.5031091438486683,-1.7485061863578795,-1.377695702348173 
 01/15  20:00:00,19.815272993254517,19.36653407324385,16.893988105570767,15.876092845248378,17.3242234520709,4.646866630624126,-0.9750921554666987,-0.978932395327337,-1.54183473345717,-1.7786654165832863,-1.4444020550362917 
 01/15  21:00:00,19.738421889738746,19.22515148073088,16.84225877615505,15.83917614495518,17.197088017079967,3.1579172880600144,-0.9916509273083717,-1.0204902859044835,-1.5612884091646249,-1.7926657619421498,-1.4808523540537581 
 01/15  22:00:00,19.678426723400285,19.05066210940604,16.725138863287476,15.744079464029967,17.030294587362008,2.6158222112632514,-1.0046876439248933,-1.0644168186936385,-1.5905758288946918,-1.8158160569281825,-1.5211665182465375 
 01/15  23:00:00,19.622089531749815,18.98666213737961,16.709675007763195,15.738501310574144,16.993626418135975,0.6870175227281964,-1.017001487945305,-1.0911905318263566,-1.6040044757027347,-1.8255744045625217,-1.5399124858111337 
 01/15  24:00:00,19.56667250979224,18.80450494126796,16.578519520249046,15.635904876559898,16.835869841210304,-0.2977666723350296,-1.0289773097703465,-1.1267102050311262,-1.6286736976568263,-1.8441761867684514,-1.570236434432759 
 01/16  01:00:00,19.517817020784808,18.549222004204772,16.370267458697242,15.44232988538409,16.610470927963107,0.12565637887028414,-1.0396794884143181,-1.1769691032351695,-1.6676271869282997,-1.8787008591083065,-1.6130191650090855 
 01/16  02:00:00,19.465604284304266,18.325630687456876,16.190085967938124,15.282288643658351,16.417543344340142,-0.9957928517911024,-1.051238610291472,-1.2236205417586106,-1.7037823506041538,-1.909872346914854,-1.652114361471146 
 01/16  03:00:00,19.40670126315449,18.163686804755564,16.06563702092624,15.176405316944212,16.28628901505904,-2.096394870194243,-1.0642049304928234,-1.2622702654674254,-1.7332219525436128,-1.934503754327287,-1.683250969323469 
 01/16  04:00:00,19.34203609566299,18.03226166119863,15.969398374083154,15.095023664009645,16.191309891690114,-4.037338782196963,-1.078414369753112,-1.2965017666337644,-1.7589281595734136,-1.9560546383706794,-1.7090183229677998 
 01/16  05:00:00,19.27272660002117,17.756995478865843,15.72864845654663,15.261025998984259,15.945112672973027,-5.443886967015766,-1.0934971937613347,-1.3489704151345125,-1.8032783860828392,-1.9389211579146126,-1.7545936210582882 
 01/16  06:00:00,19.208024295437085,17.625114219376346,15.631246015762429,15.287467698749255,15.843034351801071,-4.995142360841472,-1.1075493138855719,-1.3823045655286847,-1.828705426912399,-1.9406461035845237,-1.7811377527997756 
 01/16  07:00:00,19.154579612406966,17.528420821092215,15.571245929120852,15.251483116463909,15.777198519705935,-4.729297922396595,-1.1192574334215146,-1.407505093148007,-1.845590245470718,-1.9500650267967048,-1.799335719548114 
 01/16  08:00:00,19.11796853348315,17.503943544497915,15.704564328892026,15.412929239738292,15.57918707623844,-4.655918849535267,-1.1268949122299723,-1.399441931516313,-1.8006319907840957,-1.9309509961429858,-1.8336877124959932 
 01/16  09:00:00,19.210085219502606,18.45111975958726,17.006998722433153,15.31936303481248,15.733966686667868,-0.670634875197272,-1.105692541445899,-1.1860954027487858,-1.5253511085767018,-1.9275639037238967,-1.8018139420088148 
 01/16  10:00:00,19.33314194635875,19.668692573900678,17.81220994393576,15.451628734034962,16.128094437233546,7.713699935865072,-1.0793851972737154,-0.9368653472124632,-1.361787776818787,-1.8909670852076235,-1.7258645039839473 
 01/16  11:00:00,19.44098045971819,20.476772790143897,17.96540180068495,15.64653170477743,16.50911379048261,16.303468241441536,-1.0560619027836955,-0.7670733517676613,-1.3290392663223103,-1.847126000831165,-1.649659003290925 
 01/16  12:00:00,19.542642051681888,20.112196234714215,17.70420470192036,15.827142766350903,16.734370071683283,18.17016225911785,-1.0349959647663818,-0.8488477021529309,-1.3890457076021667,-1.8127772986116846,-1.6076530806411895 
 01/16  13:00:00,19.572148554104988,19.912976878757544,17.62036347728705,15.95263820131091,16.851246736656,15.36013624435041,-1.0296198196278619,-0.8941949976552047,-1.415195860369642,-1.7912610402433322,-1.587971513324111 
 01/16  14:00:00,19.60973838096112,21.061050034337264,17.703058456052307,16.129028833998568,17.35639760866257,19.218643845741177,-1.0202933750136558,-0.6490854037977842,-1.3980377127816035,-1.7523016344076294,-1.4747255287464318 
