Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,12033124.690095756,12033124.690095756,0.0 
 01/01  02:00:00,14698835.039583553,14698835.039583553,0.0 
 01/01  03:00:00,13098123.54113518,13098123.54113518,0.0 
 01/01  04:00:00,11327584.169721872,11327584.169721872,0.0 
 01/01  05:00:00,15063617.998501811,15063617.998501811,0.0 
 01/01  06:00:00,13118710.32714307,13118710.327143066,0.0 
 01/01  07:00:00,12877322.666169383,12877322.666169384,0.0 
 01/01  08:00:00,14445134.557744209,14445134.557744209,0.0 
 01/01  09:00:00,8905266.912977666,8905266.912977666,0.0 
 01/01  10:00:00,8418129.575260473,8418129.575260473,0.0 
 01/01  11:00:00,7707747.60102184,7707747.601021839,0.0 
 01/01  12:00:00,7916641.731614784,7916641.731614784,0.0 
 01/01  13:00:00,6842020.706676322,6842020.706676322,0.0 
 01/01  14:00:00,7657011.4556843415,7657011.4556843415,0.0 
 01/01  15:00:00,8322399.717683839,8322399.717683839,0.0 
 01/01  16:00:00,8333281.789166064,8333281.789166064,0.0 
 01/01  17:00:00,10488720.997646552,10488720.997646552,0.0 
 01/01  18:00:00,12478382.150872104,12478382.1508721,0.0 
 01/01  19:00:00,12586191.869033704,12586191.869033705,0.0 
 01/01  20:00:00,13669190.146372372,13669190.146372372,0.0 
 01/01  21:00:00,13870235.727169722,13870235.727169722,0.0 
 01/01  22:00:00,13820077.227981234,13820077.227981236,0.0 
 01/01  23:00:00,15873713.938209102,15873713.9382091,0.0 
 01/01  24:00:00,15728955.28521495,15728955.285214951,8646.464430547288 
 01/02  01:00:00,16192733.511405088,16192733.511405086,0.0 
 01/02  02:00:00,16747949.850175228,16747949.850175228,0.0 
 01/02  03:00:00,16500536.323349962,16500536.323349968,0.0 
 01/02  04:00:00,17011260.046718836,17011260.04671884,0.0 
 01/02  05:00:00,19131713.215693343,19131713.215693347,420844.87477840716 
 01/02  06:00:00,12712536.633881528,12712536.63388153,13458678.842924856 
 01/02  07:00:00,19105962.87108028,19105962.87108028,90107760.51394631 
 01/02  08:00:00,19654964.64427531,19654964.644275315,90107760.51394631 
 01/02  09:00:00,44689982.32606354,44689982.32606354,78873853.31318656 
 01/02  10:00:00,50980056.93825385,50980056.93825386,45037432.51252197 
 01/02  11:00:00,50753484.51862845,50753484.51862847,22475812.939365678 
 01/02  12:00:00,49778995.60043387,49778995.60043387,11493871.407050101 
 01/02  13:00:00,47214052.68950528,47214052.68950529,16223100.215928622 
