Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/29  01:00:00,8766681.70917847,8766681.709178472,0.0 
 01/29  02:00:00,9666562.305672228,9666562.30567223,0.0 
 01/29  03:00:00,10037563.813725986,10037563.813725986,0.0 
 01/29  04:00:00,10401305.682935435,10401305.682935435,0.0 
 01/29  05:00:00,11405299.093730196,11405299.093730198,0.0 
 01/29  06:00:00,10557165.213346018,10557165.213346016,0.0 
 01/29  07:00:00,11656774.893106755,11656774.893106755,0.0 
 01/29  08:00:00,11150399.786654761,11150399.786654761,0.0 
 01/29  09:00:00,7608368.824024284,7608368.824024284,0.0 
 01/29  10:00:00,6627940.577307386,6627940.577307386,0.0 
 01/29  11:00:00,6200865.451238169,6200865.451238169,0.0 
 01/29  12:00:00,5146763.7848245,5146763.7848245,0.0 
 01/29  13:00:00,4818452.414649393,4818452.414649393,0.0 
 01/29  14:00:00,4736808.380899384,4736808.380899384,0.0 
 01/29  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/29  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/29  17:00:00,4945258.596677196,4945258.596677196,0.0 
 01/29  18:00:00,7964564.144415714,7964564.144415714,0.0 
 01/29  19:00:00,8650672.474900903,8650672.474900903,0.0 
 01/29  20:00:00,7795338.586712598,7795338.586712598,0.0 
 01/29  21:00:00,7620744.863125562,7620744.863125564,0.0 
 01/29  22:00:00,8172740.190300156,8172740.190300155,0.0 
 01/29  23:00:00,8231532.358213704,8231532.358213704,0.0 
 01/29  24:00:00,8500649.591875482,8500649.59187548,0.0 
 01/30  01:00:00,11540013.488739608,11540013.488739608,0.0 
 01/30  02:00:00,11015145.489807129,11015145.489807129,0.0 
 01/30  03:00:00,11113327.38638677,11113327.38638677,0.0 
 01/30  04:00:00,11708613.297542164,11708613.297542166,0.0 
 01/30  05:00:00,11166940.446020035,11166940.446020037,0.0 
 01/30  06:00:00,10865906.812438741,10865906.812438743,0.0 
 01/30  07:00:00,42361798.65274421,42361798.65274422,45738911.77434073 
 01/30  08:00:00,43510641.60449657,43510641.60449656,44092504.20569271 
 01/30  09:00:00,50222761.18337461,50222761.18337461,12139037.94317723 
 01/30  10:00:00,47251022.07512799,47251022.075128,7158017.369287379 
 01/30  11:00:00,43755804.73889028,43755804.7388903,2165709.256419318 
 01/30  12:00:00,43376536.589076735,43376536.58907674,110205.28269244196 
 01/30  13:00:00,41553883.5926904,41553883.59269041,0.0 
 01/30  14:00:00,40074817.167667225,40074817.167667225,0.0 
 01/30  15:00:00,37639749.01046443,37639749.010464445,0.0 
 01/30  16:00:00,37245887.43293941,37245887.4329394,0.0 
 01/30  17:00:00,35765009.95355937,35765009.95355937,0.0 
 01/30  18:00:00,36619517.07469664,36619517.074696645,0.0 
 01/30  19:00:00,32692770.775268342,32692770.77526835,0.0 
 01/30  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/30  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/30  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/30  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/30  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/31  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/31  07:00:00,42494661.173484035,42494661.173484035,29048227.96118715 
 01/31  08:00:00,44471096.070843294,44471096.070843294,32326946.6551413 
 01/31  09:00:00,44557139.67830871,44557139.67830872,2869016.1735042757 
 01/31  10:00:00,37318812.33848396,37318812.33848396,0.0 
 01/31  11:00:00,32765392.467364788,32765392.467364788,0.0 
 01/31  12:00:00,31933296.10613876,31933296.10613876,0.0 
 01/31  13:00:00,29077779.43058969,29077779.430589695,0.0 
 01/31  14:00:00,30192534.835340932,30192534.835340932,0.0 
 01/31  15:00:00,28557358.95171693,28557358.951716937,0.0 
 01/31  16:00:00,29384424.119914386,29384424.11991439,0.0 
 01/31  17:00:00,29598553.777501967,29598553.77750197,0.0 
 01/31  18:00:00,30126713.357697804,30126713.357697807,0.0 
 01/31  19:00:00,31087635.99099486,31087635.990994863,0.0 
 01/31  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/31  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/31  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/31  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/31  24:00:00,7265454.451684226,7265454.451684226,0.0 
