Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/01  01:00:00,16.160633408614284,15.244586255822123,15.137552239710722,15.049635740827348,15.045995686422067,-8.002722742922423,-1.7427793105065452,-1.9716527414499019,-2.0146260325462637,-2.031128511727834,-2.0305329742663902 
 01/01  02:00:00,15.918991578155895,15.35506464057354,15.290306396253923,15.282637077771962,15.280480723643397,-7.166982071594202,-1.7840449002722711,-1.9590592767015265,-1.9948739289233464,-2.000918892273365,-2.000557464239774 
 01/01  03:00:00,15.861300244606065,15.36156915056668,15.308180825670455,15.302110349448382,15.298421283400033,-6.6040095675143595,-1.7965510513717042,-1.9602006695658298,-1.9920934598288038,-1.9977101549005125,-1.9981349607757686 
 01/01  04:00:00,15.822444497921095,15.189774969194673,15.098519904431681,15.087522083627697,15.081372769958085,-6.456224269260039,-1.8053065531649495,-1.9836808192058553,-2.019465943259228,-2.0256355721362937,-2.026393301663022 
 01/01  05:00:00,15.79563442597879,15.332717622006244,15.276033794536001,15.271687063857208,15.264957661502434,-5.273028667171909,-1.8114622578605273,-1.9664750341807125,-1.9969236626844415,-2.001940550646301,-2.0030516385197217 
 01/01  06:00:00,15.777746294999858,15.364598834575023,15.316988439208053,15.3125021221645,15.307915303513706,-4.299094228996206,-1.8157607403213614,-1.9599025145857334,-1.9878780117387087,-1.992603016595114,-1.993401030801474 
 01/01  07:00:00,15.763868712616336,15.195607637101336,15.11436028839828,15.107615788182137,15.099182874546795,-3.7419209128479043,-1.819134858514185,-1.981094963824943,-2.012382074037542,-2.017299719044596,-2.0185367437889195 
 01/01  08:00:00,15.759631127873444,15.390466205038948,15.358294288686743,15.294578698250064,15.287625724876772,-2.9786199791347707,-1.820017627992979,-1.938041629133883,-1.9562092930884312,-1.989782001651391,-1.9908759814286068 
 01/01  09:00:00,15.842596130913496,15.347373544139558,15.255083386559907,15.345900193330277,15.340884687638201,0.5386771546730635,-1.8012459477584726,-1.886263359059726,-1.9113315516041527,-1.9675618740619396,-1.9672379771879385 
 01/01  10:00:00,15.909484947553988,15.328102856847952,15.291792870535213,15.186660429377026,15.181432765832774,3.143625824723346,-1.7892784388135823,-1.8946242674216376,-1.9198121389699805,-1.9801708082603153,-1.9789003092923476 
